"region","set_type","status","all_pop","ind_edu","phd_edu","hig_edu","mast_edu","spec_edu","bac_edu","not_compl_edu","prof_edu","prof_edu_mid_spec","prof_edu_work","mid_edu","mid_edu_gen","mid_edu_prim","non_edu","not_ind_edu"
NA,"total",NA,34640718,27081213,415719,8051587,663187,5182129,2206271,795682,10396087,6547423,3848664,4429877,2461796,494282,36183,7559505
NA,"total","indicated status",27506615,26295088,405668,7894077,652390,5082681,2159006,773205,10152084,6390289,3761795,4259034,2323878,452296,34846,1211527
NA,"total","labour force",17449429,16563640,287222,6211533,536990,3882797,1791746,590837,6550476,4058724,2491752,1956691,902460,58317,6104,885789
NA,"total","employed",17324831,16440746,285498,6173887,532820,3859320,1781747,587079,6509654,4035185,2474469,1933579,889221,55843,5985,884085
NA,"total","unemployed",124598,122894,1724,37646,4170,23477,9999,3758,40822,23539,17283,23112,13239,2474,119,1704
NA,"total","not in labour",10057186,9731448,118446,1682544,115400,1199884,367260,182368,3601608,2331565,1270043,2302343,1421418,393979,28742,325738
NA,"total","labour force",170286,167613,2810,51344,6134,31977,13233,5137,51129,30691,20438,35515,19180,2318,180,2673
NA,"total",NA,7134103,786125,10051,157510,10797,99448,47265,22477,244003,157134,86869,170843,137918,41986,1337,6347978
NA,"city",NA,28468462,21332171,372503,7069104,610296,4509048,1949760,700224,7907023,5016924,2890099,3213966,1723344,323140,22867,7136291
NA,"city","indicated status",21768627,20660477,363206,6926036,600206,4418798,1907032,680012,7703340,4885230,2818110,3072039,1606984,287034,21826,1108150
NA,"city","labour force",14214528,13403873,258396,5481162,494568,3397240,1589354,522690,5019396,3127156,1892240,1409531,661930,45883,4885,810655
NA,"city","employed",14118081,13308982,256842,5447600,490730,3376439,1580431,519361,4990357,3110219,1880138,1393117,653170,43738,4797,809099
NA,"city","unemployed",96447,94891,1554,33562,3838,20801,8923,3329,29039,16937,12102,16414,8760,2145,88,1556
NA,"city","not in labour",7554099,7256604,104810,1444874,105638,1021558,317678,157322,2683944,1758074,925870,1662508,945054,241151,16941,297495
NA,"city","labour force",135740,133280,2536,45613,5648,28256,11709,4422,37136,22652,14484,27338,14238,1867,130,2460
NA,"city",NA,6699835,671694,9297,143068,10090,90250,42728,20212,203683,131694,71989,141927,116360,36106,1041,6028141
NA,"village",NA,6172256,5749042,43216,982483,52891,673081,256511,95458,2489064,1530499,958565,1215911,738452,171142,13316,423214
NA,"village","indicated status",5737988,5634611,42462,968041,52184,663883,251974,93193,2448744,1505059,943685,1186995,716894,165262,13020,103377
NA,"village","labour force",3234901,3159767,28826,730371,42422,485557,202392,68147,1531080,931568,599512,547160,240530,12434,1219,75134
NA,"village","employed",3206750,3131764,28656,726287,42090,482881,201316,67718,1519297,924966,594331,540462,236051,12105,1188,74986
NA,"village","unemployed",28151,28003,170,4084,332,2676,1076,429,11783,6602,5181,6698,4479,329,31,148
NA,"village","not in labour",2503087,2474844,13636,237670,9762,178326,49582,25046,917664,573491,344173,639835,476364,152828,11801,28243
NA,"village","labour force",34546,34333,274,5731,486,3721,1524,715,13993,8039,5954,8177,4942,451,50,213
NA,"village",NA,434268,114431,754,14442,707,9198,4537,2265,40320,25440,14880,28916,21558,5880,296,319837
"Belgorod Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgorod Oblast","total",NA,1297695,1113268,13264,269740,15091,190383,64266,18841,507765,342596,165169,188427,93423,20196,1612,184427
"Belgorod Oblast","total","indicated status",1109799,1097452,13057,267015,14977,188508,63530,18534,500698,337654,163044,185429,91456,19686,1577,12347
"Belgorod Oblast","total","labour force",640190,631805,8787,202798,11972,140797,50029,13297,307486,205052,102434,75472,22976,852,137,8385
"Belgorod Oblast","total","employed",636748,628390,8735,201682,11878,140043,49761,13214,306164,204198,101966,74889,22727,846,133,8358
"Belgorod Oblast","total","unemployed",3442,3415,52,1116,94,754,268,83,1322,854,468,583,249,6,4,27
"Belgorod Oblast","total","not in labour",469609,465647,4270,64217,3005,47711,13501,5237,193212,132602,60610,109957,68480,18834,1440,3962
"Belgorod Oblast","total","labour force",5553,5497,77,1659,144,1096,419,113,2076,1362,714,1064,463,40,5,56
"Belgorod Oblast","total",NA,187896,15816,207,2725,114,1875,736,307,7067,4942,2125,2998,1967,510,35,172080
"Belgorod Oblast","city",NA,844480,671455,9773,189756,11619,130615,47522,13164,310465,212606,97859,95435,43366,8770,726,173025
"Belgorod Oblast","city","indicated status",670078,659033,9592,187479,11517,129045,46917,12886,304880,208654,96226,93208,41900,8392,696,11045
"Belgorod Oblast","city","labour force",400976,393320,6459,143199,9136,97145,36918,9449,187565,126423,61142,35679,10293,584,92,7656
